epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec
1,1.0797,0.5320,0.9926,0.5672,0.000300,5.0
2,0.6671,0.7537,0.8047,0.7164,0.000300,5.9
3,0.4778,0.8621,0.6960,0.7313,0.000299,5.6
4,0.3966,0.8670,0.6229,0.7910,0.000297,5.7
5,0.3265,0.9409,0.5842,0.7910,0.000295,5.7
6,0.2815,0.9310,0.5415,0.7910,0.000293,5.8
7,0.2639,0.9261,0.5249,0.8060,0.000290,5.4
8,0.2010,0.9606,0.4895,0.8209,0.000286,5.7
9,0.2046,0.9606,0.4810,0.8209,0.000282,5.9
10,0.2001,0.9754,0.4561,0.8507,0.000277,5.8
11,0.1545,0.9754,0.4514,0.8358,0.000271,5.8
12,0.1626,0.9606,0.4501,0.8209,0.000266,5.7
13,0.1186,0.9901,0.4416,0.8209,0.000259,5.7
14,0.1193,0.9852,0.4360,0.8209,0.000253,5.5
15,0.0981,0.9951,0.4181,0.8209,0.000246,5.8
16,0.1115,0.9951,0.4195,0.8209,0.000238,5.5
17,0.0813,0.9951,0.4183,0.8209,0.000231,5.7
