epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec
1,1.3890,0.2463,1.3055,0.5672,0.001000,9.0
2,1.2852,0.4975,1.2214,0.6269,0.000999,8.3
3,1.2362,0.5468,1.1580,0.6119,0.000996,8.2
4,1.1681,0.6158,1.1023,0.6866,0.000991,8.5
5,1.0997,0.6650,1.0531,0.7164,0.000984,8.5
6,1.0741,0.6404,1.0207,0.7164,0.000976,8.5
7,1.0195,0.6847,0.9902,0.7164,0.000965,8.5
8,0.9670,0.7241,0.9629,0.7463,0.000952,8.5
9,0.9512,0.7192,0.9423,0.7313,0.000938,8.1
10,0.9219,0.7291,0.9201,0.7015,0.000922,8.5
11,0.8854,0.7192,0.9039,0.7164,0.000905,8.6
12,0.9243,0.6897,0.8751,0.7164,0.000885,8.5
13,0.8543,0.7635,0.8608,0.7313,0.000865,8.4
14,0.8591,0.7537,0.8629,0.7463,0.000842,8.5
15,0.8672,0.7291,0.8598,0.7463,0.000819,8.5
