epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec
1,1.1566,0.5517,1.2193,0.7164,0.001000,9.3
2,0.7783,0.7783,1.1054,0.8209,0.000999,10.0
3,0.6075,0.8128,1.0498,0.8358,0.000996,9.8
4,0.4816,0.8621,1.0287,0.7761,0.000991,10.5
5,0.3969,0.9015,1.0052,0.8507,0.000984,10.5
6,0.3204,0.9507,0.9903,0.8507,0.000976,10.6
7,0.3024,0.9409,0.9780,0.8507,0.000965,10.9
8,0.2696,0.9310,0.9737,0.8358,0.000952,10.5
9,0.2478,0.9507,0.9630,0.8507,0.000938,10.3
10,0.2812,0.9409,0.9596,0.8507,0.000922,10.8
11,0.2111,0.9704,0.9506,0.8507,0.000905,10.3
12,0.1787,0.9803,0.9527,0.8358,0.000885,9.9
