epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec
1,1.3328,0.4286,1.3036,0.6567,0.001000,5.1
2,0.9217,0.8030,1.2047,0.7463,0.000999,5.2
3,0.7437,0.8374,1.1398,0.7015,0.000996,4.7
4,0.5865,0.8670,1.0977,0.7761,0.000991,4.7
5,0.4825,0.9113,1.0677,0.8209,0.000984,4.5
6,0.4431,0.9310,1.0503,0.8358,0.000976,4.7
7,0.3809,0.9261,1.0345,0.8358,0.000965,4.6
8,0.3263,0.9507,1.0167,0.8060,0.000952,4.6
9,0.3320,0.9163,1.0077,0.8209,0.000938,4.6
10,0.2896,0.9409,0.9935,0.8358,0.000922,4.6
11,0.2774,0.9458,0.9939,0.8358,0.000905,4.6
12,0.2728,0.9458,0.9814,0.8657,0.000885,4.6
13,0.2516,0.9606,0.9759,0.8507,0.000865,4.6
14,0.2410,0.9557,0.9708,0.8507,0.000842,4.6
15,0.2285,0.9557,0.9713,0.8507,0.000819,5.1
16,0.2020,0.9655,0.9657,0.8657,0.000794,4.7
17,0.1938,0.9704,0.9646,0.8657,0.000768,4.9
18,0.1952,0.9754,0.9550,0.8657,0.000741,4.8
19,0.1765,0.9754,0.9526,0.8806,0.000713,4.8
20,0.1718,0.9852,0.9550,0.8806,0.000684,5.3
21,0.1994,0.9557,0.9547,0.8507,0.000655,5.2
22,0.1598,0.9754,0.9476,0.8657,0.000625,5.1
23,0.1692,0.9704,0.9449,0.8657,0.000594,4.9
24,0.1969,0.9606,0.9372,0.8806,0.000563,5.2
25,0.1426,0.9803,0.9307,0.8955,0.000532,4.9
26,0.1515,0.9754,0.9320,0.8657,0.000500,5.0
27,0.1822,0.9606,0.9307,0.8806,0.000469,5.1
28,0.1533,0.9754,0.9320,0.8806,0.000438,5.5
29,0.1653,0.9606,0.9362,0.8806,0.000407,5.2
30,0.1462,0.9704,0.9313,0.8657,0.000376,5.0
31,0.1387,0.9901,0.9292,0.8507,0.000346,4.4
32,0.1306,0.9852,0.9277,0.8507,0.000317,4.7
